ID station_name Total_kmers FP_wo_rescue FP_with_rescue      Techno Expected_FP       ratio_FP_wo       ratio_FP_with       NB_kmers_seen_once ratio_kmer_seen_once_Expected_FP       NB_kmers_seen_twice ratio_kmer_seen_twice_Expected_FP       
set44 52SUR0CCII11 32439238450 2710690013 3989086898 224349050                 hs2000 413258573                 9.65                 0.54                 2710690013 6.56                 3593933366 8.7
set45 52DCM0CCII11 31211235728 3416714503 5051753018 274952717                 hs2000 397614474                 12.71                 0.69                 3416714503 8.59                 4630387960 11.65
set46 72SUR0CCKK11 33370782670 6319381110 8499560645 853535720                 hs2000 425125949                 19.99                 2.01                 6319381110 14.86                 8237578179 19.38
set47 72DCM0CCKK11 26270300092 4865640092 6451026149 476877612                 hs2000 334669593                 19.28                 1.42                 4865640092 14.54                 6156103240 18.39
set48 72MES0CCKK11 22880679363 5521514250 7477883952 558583076                 hs2000 291487635                 25.65                 1.92                 5521514250 18.94                 7100773915 24.36
set49 82SUR0CCKK11 21451377956 2759917760 3860566824 371999986                 hs2000 273279098                 14.13                 1.36                 2759917760 10.1                 3473677935 12.71
set50 82DCM0CCKK11 35021493105 2365691494 3577125167 351293044                 hs2000 446155118                 8.02                 0.79                 2365691494 5.3                 3142451755 7.04
set51 84SUR0CCKK11 35070639539 3934522157 5570354770 768808855                 hs2000 446781217                 12.47                 1.72                 3934522157 8.81                 5029317986 11.26
set52 85SUR0CCKK11 31722328749 1843896675 2796248137 340500391                 hs2000 404125526                 6.92                 0.84                 1843896675 4.56                 2381215549 5.89
set53 85DCM0CCKK11 34009885721 2356861647 3573309299 530586119                 hs2000 433267780                 8.25                 1.22                 2356861647 5.44                 3028635553 6.99
set54 85MES0CCKK11 32077765395 5276804883 7226316252 862649101                 hs2000 408653599                 17.68                 2.11                 5276804883 12.91                 6792964690 16.62
set55 98SUR0CCKK11 20282189065 3358562029 4490559696 405746809                 hs2000 258384256                 17.38                 1.57                 3358562029 13.0                 4138381131 16.02
set56 98DCM0CCKK11 20395163453 3370913538 5078494471 390872771                 hs2000 259823490                 19.55                 1.5                 3370913538 12.97                 4553561818 17.53
set57 98MES0CCKK11 35452290163 5919957862 8027389768 759159179                 hs2000 451643243                 17.77                 1.68                 5919957862 13.11                 7774711345 17.21
set58 100SUR0CCKK11 30111983135 1951106777 3007125147 184210885                 hs2000 383610583                 7.84                 0.48                 1951106777 5.09                 2635466780 6.87
set59 100DCM0CCKK11 27372082340 3126453632 4515672301 260678997                 hs2000 348705710                 12.95                 0.75                 3126453632 8.97                 4117065971 11.81
set60 100MES0CCKK11 29148214927 2433204458 3744356689 285700067                 hs2000 371332691                 10.08                 0.77                 2433204458 6.55                 3295637896 8.88
set61 102SUR0CCKK11 27201285966 2755570333 3985133794 267285684                 hs2000 346529856                 11.5                 0.77                 2755570333 7.95                 3607824982 10.41
set62 102DCM0CCKK11 37035083974 2949307884 4617619955 339038377 UNDEF
